,tconst,originalTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,production_countries,primaryName
53,tt0025043,Le dernier milliardaire,1934,90,Comedy,6.1,235,FR,"Raymond Aimos,Marcel Carpentier,Raymond Cordy,Max Dearly,Marthe Mellot,José Noguéro,Paul Ollivier,Charles Redgie,Renée Saint-Cyr,Sinoël"
55,tt0025279,L'hôtel du libre échange,1934,95,Comedy,6.3,48,FR,"André Alerme,Raymond Cordy,Marion Delbo,Marcel Duhamel,Saturnin Fabre,Fernandel,Raymond Galle,Pierre Larquey,Mona Lys,Palau"
63,tt0026280,Divine,1935,82,"Comedy,Drama",6.4,177,FR,"Paul Azaïs,Simone Berriau,Thérèse Dorny,Sylvette Fillacier,Catherine Fonteney,Jeanne Fusier-Gir,Philippe Hériat,Gina Manès,Jorge Rigaud,Jeanne Véniat"
65,tt0026564,La kermesse héroïque,1935,95,"Comedy,History,Romance",7.4,1408,FR,"André Alerme,André Alerme,Micheline Cheirel,Lyne Clevers,Lyne Clevers,Marguerite Ducouret,Marguerite Ducouret,Ginette Gaubert,Ginette Gaubert,Louis Jouvet,Louis Jouvet,Bernard Lancret,Jean Murat,Jean Murat,Françoise Rosay,Françoise Rosay,Maryse Wendling,Maryse Wendling"
73,tt0027552,Drôle de drame,1937,84,Comedy,7.4,1966,FR,"Jean-Pierre Aumont,Jenny Burnay,Agnès Capri,Annie Cariel,Henri Guisol,Louis Jouvet,Jane Loury,Françoise Rosay,Michel Simon,Nadine Vogel"
77,tt0027978,Mon père avait raison,1936,95,Comedy,6.6,373,FR,"Paul Bernard,Pauline Carton,Betty Daussmond,Jacqueline Delubac,Gaston Dubosc,Serge Grave,Sacha Guitry,Marcel Lévesque,Robert Seller"
78,tt0028201,Le roman d'un tricheur,1936,81,Comedy,7.6,2544,FR,"Jacqueline Delubac,Jacqueline Delubac,Marguerite Moreno,Marguerite Moreno"
84,tt0028847,Faisons un rêve...,1936,86,"Comedy,Romance",7.0,579,FR,"Arletty,Louis Baron fils,Pierre Bertin,Victor Boucher,Jean Coquelin,Claude Dauphin,Jacqueline Delubac,Rosine Deréan,Sacha Guitry,Raimu"
86,tt0028959,Gribouille,1937,86,"Comedy,Drama",6.6,157,FR,"Michèle Morgan,Andrex,Marcel André,Jacques Baumer,René Bergeron,Julien Carette,Gilbert Gil,Jacques Grétillat,Raimu,Jean Worms"
90,tt0029394,Les perles de la couronne,1937,105,"Comedy,History",6.9,635,FR,"Arletty,Marcel Dalio,Jacqueline Delubac,Jacqueline Delubac,Jacqueline Delubac,Enrico Glori,Sacha Guitry,Sacha Guitry,Sacha Guitry,Lyn Harding,Lyn Harding,Marguerite Moreno,Marguerite Moreno,Renée Saint-Cyr,Barbara Shaw,Ermete Zacconi"
97,tt0030100,Entrée des artistes,1938,99,"Comedy,Crime,Drama",7.1,309,FR,"Roger Blin,André Brunot,Janine Darcey,Claude Dauphin,Louis Jouvet,Odette Joyeux,Madeleine Lambert,Robert Pizani,Babita Soren,Mady Made"
98,tt0030127,La femme du boulanger,1938,133,"Comedy,Drama",7.5,2403,FR,"Robert Bassac,Charles Blavette,Odette Roger,Fernand Charpin,Yvette Fournier,Ginette Leclerc,Marcel Maupi,Raimu,Alida Rouffe,Robert Vattier"
100,tt0030252,Hôtel du Nord,1938,83,"Comedy,Drama,Romance",7.5,3249,FR,"Arletty,Jean-Pierre Aumont,Andrex,Marcel André,Annabella,Bernard Blier,Henri Bosc,André Brunot,Paulette Dubost,Louis Jouvet"
104,tt0030642,Quadrille,1938,95,"Comedy,Romance",6.8,424,FR,"Pauline Carton,Jacqueline Delubac,Georges Grey,Sacha Guitry,Gaby Morlay,Jacques Vitry,Louis Vonelly,Julien Rivière,Paul Alex,Louis Baldy"
108,tt0030722,Le schpountz,1938,160,Comedy,7.4,788,FR,"Robert Bassac,Léon Belières,Fernand Charpin,Orane Demazis,Fernandel,Enrico Glori,Louisard,Marcel Maupi,Henri Poupon,Robert Vattier"
110,tt0031084,Battement de coeur,1940,97,"Comedy,Drama",6.9,329,FR,"Junie Astor,Julien Carette,Danielle Darrieux,Claude Dauphin,Charles Dechamps,Pierre Feuillère,Jean Hébey,Sylvain Itkine,André Luguet"
114,tt0031345,Fric-Frac,1939,92,Comedy,6.9,556,FR,"Arletty,Andrex,Rivers Cadet,Fernandel,René Génin,Hélène Robert,Michel Simon,Marcel Vallée,Jacques Varennes,Génia Vaury"
117,tt0031885,La règle du jeu,1939,110,"Comedy,Drama",7.9,31391,FR,"Julien Carette,Marcel Dalio,Paulette Dubost,Lise Elina,Nora Gregor,Claire Gérard,Anne Mayen,Mila Parély,Odette Talazac,Roland Toutain"
122,tt0033229,Volpone,1941,94,Comedy,7.1,402,FR,"Harry Baur,Jacqueline Delubac,Marion Dorian,Charles Dullin,Louis Frémont,Louis Jouvet,Fernand Ledoux,Alexandre Rignault,Robert Seller,Jean Témerson"
123,tt0033357,L'assassinat du Père Noël,1941,105,"Comedy,Drama,Mystery",7.3,693,FR,"Harry Baur,Bernard Blier,Jean Brochard,Marie-Hélène Dasté,Renée Faure,Robert Le Vigan,Fernand Ledoux,Héléna Manson,Jean Parédès,Raymond Rouleau"
126,tt0033603,La fille du puisatier,1940,142,"Comedy,Drama",7.3,691,FR,"Roberte Arnaud,Fernand Charpin,Clairette Oddera,Josette Day,Fernandel,Georges Grey,Milly Mathis,Line Noro,Raimu,Raymonde"
127,tt0034018,Les petits riens,1941,88,Comedy,5.7,47,FR,"Thérèse Dorny,Jacques Erwin,Fernandel,Suzy Prim,Raimu,Cécile Sorel"
128,tt0034063,Premier rendez-vous,1941,91,Comedy,6.8,161,"DE', 'FR","Danielle Darrieux,Suzanne Dehelly,Sophie Desmarets,Gabrielle Dorziat,Louis Jourdan,Fernand Ledoux,Rosine Luguet,Jean Parédès,Elisa Ruis,Jean Tissier"
131,tt0034478,L'assassin habite... au 21,1942,84,"Comedy,Crime,Mystery",7.3,3654,FR,"Suzy Delair,Jean Despeaux,Pierre Fresnay,René Génin,Pierre Larquey,Marc Natol,Noël Roquevert,Odette Talazac,Jean Tissier,Huguette Vivier"
137,tt0035336,Simplet,1942,88,Comedy,6.4,103,FR,"Georges Alban,Mathilde Alberti,Andrex,Charles Blavette,Édouard Delmont,Fernandel,Colette Fleuriot,Milly Mathis,Maximilienne,Henri Poupon"
143,tt0035853,Falbalas,1945,111,"Comedy,Drama,Romance",7.0,722,FR,"Christiane Barry,Jean Chevrier,Gabrielle Dorziat,Jeanne Fusier-Gir,Françoise Lugagne,Rosine Luguet,Micheline Presle,Raymond Rouleau,Eveline Volney"
144,tt0035951,Goupi Mains Rouges,1943,96,"Comedy,Drama,Mystery",7.5,1079,FR,"Blanchette Brunoy,Arthur Devère,Marcelle Hainia,Germaine Kerjean,Fernand Ledoux,Marcel Pérès,Georges Rollin,Albert Rémy,Maurice Schutz,Louis Seigner"
153,tt0038146,Sylvie et le fantôme,1946,97,"Comedy,Fantasy,Romance",6.9,494,FR,"Marguerite Cassan,Paul Demange,Jean Desailly,Gabrielle Fontan,Odette Joyeux,Pierre Larquey,Claude Marcy,François Périer,Rognoni,Lise Topart"
158,tt0038424,Copie conforme,1947,84,"Comedy,Crime,Romance",6.8,313,FR,"Jean Carmet,Henri Charrett,Suzy Delair,Louis Jouvet,Louis Jouvet,Louis Jouvet,Jane Marken,Georges Pally,Annette Poivre,Fernand Rauzéna,Robert Seller,Madeleine Suffel"
169,tt0039155,Antoine et Antoinette,1947,84,"Comedy,Drama",7.4,1128,FR,"Charles Camus,François Joux,Claire Mafféi,Jacques Meyran,Gaston Modot,Gérard Oury,Roger Pigaut,Noël Roquevert,Made Siamé,Pierre Trabaud"
181,tt0039823,Le silence est d'or,1947,100,"Comedy,Drama,Romance",7.1,582,"US', 'FR","Maurice Chevalier,Roland Armontel,Raymond Cordy,Max Dalban,Jean Daurand,Paul Demange,Marcelle Derrien,François Périer,Dany Robin,Christiane Sertilange"
182,tt0040114,L'armoire volante,1948,82,"Comedy,Crime",6.6,248,FR,"André Bervil,Berthe Bovy,Pauline Carton,Paul Demange,Albert Dinan,Fernandel,Louis Florencie,Germaine Kerjean,Maximilienne,Jean Toulout"
185,tt0040240,Le coeur sur la main,1948,95,Comedy,5.7,80,FR,"Nicolas Amato,Robert Berri,Georges Bever,Charles Bouillaud,Bourvil,Lolita De Silva,Blanche Denège,Paul Faivre,Jacques Louvigny,Michèle Philippe"
189,tt0040704,Nous les gosses,1941,90,"Comedy,Drama",6.5,88,FR,"André Brunot,Louise Carletti,Léonce Corne,Madeleine Geoffroy,Gilbert Gil,Anthony Gildès,Jeanne Pérez,Marcel Pérès,Martial Rèbe,Louis Seigner"
194,tt0041414,Gigi,1949,82,"Comedy,Romance",6.1,298,FR,"Yvonne de Bray,Paul Demange,Michel Flamme,Colette Georges,Pierre Juvenet,Yolande Laffon,Gaby Morlay,Madeleine Rousset,Jean Tissier,Frank Villard"
195,tt0041492,L'héroïque Mr Boniface,1949,92,Comedy,5.6,78,FR,"Andrex,Charles Bouillaud,Fernandel,Palmyre Levasseur,Julien Maffre,Albert Malbert,Gaston Orbal,Max Révol,Francis Salabert"
201,tt0041705,La nuit fantastique,1942,103,"Comedy,Fantasy,Romance",6.7,385,FR,"Bernard Blier,Saturnin Fabre,Zita Fiore,Charles Granval,Fernand Gravey,Marcel Lévesque,Christiane Nère,Jean Parédès,Micheline Presle,Michel Vitold"
207,tt0041800,Rendez-vous de juillet,1949,112,"Comedy,Drama",7.0,456,FR,"Daniel Gélin,Brigitte Auber,Michel Barbey,Nicole Courcel,Jacques Fabbri,Philippe Mareuil,Francis Maziére,Maurice Ronet,Pierre Trabaud"
208,tt0041802,Retour à la vie,1949,120,"Comedy,Drama,War",7.0,268,FR,"Bernard Blier,Tanis Chandler,Nane Germon,Louis Jouvet,Héléna Manson,Jane Marken,Noël-Noël,François Périer,Serge Reggiani,Patricia Roc"
211,tt0042193,L'amant de paille,1950,86,Comedy,5.2,12,FR,"Louis de Funès,Jean-Pierre Aumont,Alfred Adam,Odette Barencey,Émile Genevois,Lucienne Granier,Marcel Melrac,Félix Oudart,Gaby Sylvia,André Versini"
213,tt0042210,Atoll K,1950,82,Comedy,5.5,2227,"FR', 'IT","Oliver Hardy,Michael Dalmatoff,Suzy Delair,Max Elloy,Stan Laurel,Suzet Maïs,Robert Murzeau,Félix Oudart,Adriano Rimoldi,Luigi Tosi"
214,tt0042235,La beauté du diable,1950,95,"Comedy,Drama,Fantasy",7.3,1819,FR,"Nicole Besnard,Tullio Carminati,Raymond Cordy,Gaston Modot,Carlo Ninchi,Gérard Philipe,Gérard Philipe,Michel Simon,Michel Simon,Paolo Stoppa,Simone Valère"
216,tt0042316,Caroline chérie,1951,115,Comedy,5.9,172,FR,"Alfred Adam,Nadine Alari,Jacques Baumer,Paul Bernard,Martine Carol,Jacques Clancy,Pierre Cressoy,Pierre Cressoy,Jacques Dacqmine,Raymond Souplex,Raymond Souplex,Jacques Varennes,Jacques Varennes"
217,tt0042318,Casimir,1950,87,Comedy,5.3,136,FR,"Cécile Didier,Jacqueline Duc,Charles Fawcett,Fernandel,Lucien Hector,Bernard Lajarrige,Germaine Montero,André Numès Fils,Gaston Orbal,Robert Seller"
219,tt0042429,Édouard et Caroline,1951,88,"Comedy,Drama,Romance",6.9,738,FR,"Daniel Gélin,Jacques François,Jean Galland,Elina Labourdette,Yette Lucas,Jean Marsac,Betty Stockfeld,Jean Toulout,William Tubbs,Anne Vernon"
225,tt0042649,Knock,1951,98,Comedy,7.3,599,FR,"Pierre Bertin,Jean Brochard,Jean Carmet,Yves Deniaud,Louis Jouvet,Jane Marken,Geneviève Morel,Mireille Perrey,Marguerite Pierry,Pierre Renoir"
227,tt0042736,Miquette et sa mère,1950,95,Comedy,6.2,370,FR,"Bourvil,Pauline Carton,Danièle Delorme,Saturnin Fabre,Jeanne Fusier-Gir,Louis Jouvet,Pierre Olaf,Mireille Perrey,Maurice Schutz,Madeleine Suffel"
228,tt0042803,Olivia,1951,88,"Comedy,Drama",6.9,734,FR,"Marina de Berg,Yvonne de Bray,Elly Claus,Suzanne Dehelly,Edwige Feuillère,Marie-Claire Olivia,Simone Simon,Tania Soucault,Rina Rhéty,Lesly Meynard"
229,tt0042859,Prima comunione,1950,84,Comedy,6.7,232,"FR', 'IT","Ernesto Almirante,Lucien Baroux,Ludmilla Dudarova,Max Elloy,Aldo Fabrizi,Gaby Morlay,Carlo Romano,Umberto Sacripante,Jean Tissier,Enrico Viarisio"
231,tt0042909,La rose rouge,1951,95,Comedy,5.0,58,FR,"Yves Robert,Françoise Arnoul,André Bellec,Georges Bellec,Yves Deniaud,Dora Doll,Barbara Laage,Philippe Olive,Paul Tourenne,François Soubeyran"
232,tt0042911,La rue sans loi,1950,100,Comedy,4.9,74,FR,"Louis de Funès,Amédée,Luc Andrieux,Max Dalban,Paul Demange,Albert Dinan,André Gabriello,Fernand Gilbert,Nathalie Nattier,Annette Poivre"
233,tt0042923,...Sans laisser d'adresse,1951,90,"Comedy,Drama",6.6,187,FR,"Bernard Blier,Danièle Delorme,Juliette Gréco,Sophie Leclair,Arlette Marchal,Pierre Mondy,Gérard Oury,Pierre Trabaud,Paul Villé,Yvette Etiévant"
237,tt0043266,Agence matrimoniale,1952,109,Comedy,7.1,43,FR,"Louis de Funès,Madeleine Barbulée,Marina de Berg,Bernard Blier,Simone Guisin,Gilberte Géniat,Yolande Laffon,Michel Nastorg,Jean Sylvère,Isabelle Lobbe"
239,tt0043303,L'auberge rouge,1951,98,"Comedy,Crime",7.2,1597,FR,"Robert Berri,Jean-Roger Caussimon,Jacques Charon,Didier d'Yd,Fernandel,Lud Germain,Nane Germon,Marie-Claire Olivia,Françoise Rosay,Andrée Viala"
240,tt0043355,Boniface somnambule,1951,89,Comedy,5.8,159,FR,"Louis de Funès,Andrex,Gaby André,Michel Ardan,Rivers Cadet,Fernandel,Julien Maffre,Raoul Marco,André Numès Fils,André Roanne"
242,tt0043577,"Garou Garou, le passe-muraille",1951,90,"Comedy,Fantasy",6.2,577,"IT', 'FR","Bourvil,Jacques Erwin,Joan Greenwood,Nina Myral,Frédéric O'Brady,Gérard Oury,Nicole Riche,Roger Tréville,René Worms"
243,tt0043686,Jeux interdits,1952,86,"Comedy,Drama,War",8.0,13131,FR,"Amédée,Laurence Badie,Madeleine Barbulée,Suzanne Courtal,Brigitte Fossey,Lucien Hubert,Jacques Marin,Marcel Mérovée,Violette Monnier,Georges Poujouly"
245,tt0043816,"Monsieur Leguignon, lampiste",1952,105,Comedy,6.3,134,FR,"Christiane Barry,Claude Boissol,Yves Deniaud,Albert Duvaleix,Jacques Emmanuel,Marcel Josz,Bernard Lajarrige,Robert Lussac,Pierre Magnier,Jane Marken"
247,tt0043865,Nous irons à Monte Carlo,1951,101,"Comedy,Musical",5.7,289,FR,"Audrey Hepburn,André Dalibert,Marcel Dalio,Danielle Godet,Suzanne Guémard,Henri Génès,Georges Lannes,Georges Lannes,Philippe Lemaire,John van Dreelen"
249,tt0043902,Parigi è sempre Parigi,1951,95,Comedy,6.1,210,"FR', 'IT","Marcello Mastroianni,Hélène Rémy,Jeannette Batti,Lucia Bosè,Aldo Fabrizi,Henri Guisol,Henri Génès,Ave Ninchi,Giuseppe Porelli,Carlo Sposito"
250,tt0043918,Don Camillo,1952,107,Comedy,7.6,4858,"FR', 'IT","Clara Auteri Pepe,Gino Cervi,Peppino De Martino,Carlo Duse,Fernandel,Franco Interlenghi,Sylvie,Vera Talchi,Charles Vissières,Italo Clerici"
251,tt0043927,La poison,1951,85,"Comedy,Crime",7.4,1629,FR,"Pauline Carton,Jacques de Féraudy,Jean Debucourt,Jacques Derives,Albert Duvaleix,Jeanne Fusier-Gir,Henry Laverne,Germaine Reuver,Michel Simon,Jacques Varennes"
255,tt0044034,"Signori, in carrozza!",1951,100,"Comedy,Romance",6.2,95,"FR', 'IT","Nando Bruno,Peppino De Filippo,Sophie Desmarets,Aldo Fabrizi,Barbara Florian,Maso Lotti,Marisa Merlini,Vera Nandi,Geraldina Parrinello,Anna Vita"
256,tt0044140,Topaze,1951,136,Comedy,7.0,393,FR,"Rivers Cadet,Jacques Castelot,Fernandel,Marcel Loche,Milly Mathis,Milly Mathis,Robert Moor,Jacqueline Pagnol,Hélène Perdrière,Marcel Vallée,Yvette Etiévant,Yvette Etiévant"
258,tt0044328,Adorables créatures,1952,109,"Comedy,Romance",5.8,177,"FR', 'IT","Daniel Gélin,Marilyn Buferd,Martine Carol,Georges Chamarat,Danielle Darrieux,Renée Faure,Edwige Feuillère,Daniel Lecourtois,Antonella Lualdi,Jean-Marc Tennberg"
259,tt0044409,Les belles de nuit,1952,87,"Comedy,Fantasy,Music",6.9,812,"FR', 'IT","Marilyn Buferd,Marilyn Buferd,Raymond Bussières,Raymond Bussières,Martine Carol,Martine Carol,Raymond Cordy,Raymond Cordy,Bernard Lajarrige,Gina Lollobrigida,Gina Lollobrigida,Albert Michel,Albert Michel,Palau,Gérard Philipe,Magali Vendeuil,Magali Vendeuil"
260,tt0044441,Le boulanger de Valorgue,1953,103,Comedy,6.4,286,"FR', 'IT","Edmond Ardisson,Henri Arius,Pierrette Bruno,José Casa,Georges Chamarat,Fernandel,Francis Linel,Mag-Avril,Madeleine Sylvain"
261,tt0044487,Le carrosse d'or,1952,103,"Comedy,Drama,History",7.0,3450,"FR', 'IT","Paul Campbell,Raf De La Torre,Nada Fiorelli,George Higgins,Duncan Lamont,Anna Magnani,Gisella Mathews,Riccardo Rioli,Odoardo Spadaro,Ralph Truman"
262,tt0044504,Coiffeur pour dames,1952,87,Comedy,6.1,260,FR,"Georges Chamarat,Renée Devillers,Jacques Eyser,Fernandel,Nicole Jonesco,Arlette Poirier,Mireille Ponsard,Françoise Soulié,Nadine Tallier"
264,tt0044602,Fanfan la tulipe,1952,102,"Adventure,Comedy,Romance",7.2,3440,"FR', 'IT","Nerio Bernardi,Lolita De Silva,Marcel Herrand,Olivier Hussenot,Gina Lollobrigida,Geneviève Page,Sylvie Pelayo,Gérard Philipe,Henri Rollan,Jean-Marc Tennberg"
267,tt0044766,Je l'ai été 3 fois!,1952,81,"Comedy,Romance",6.5,107,FR,"Jacques Anquetil,Henri Arius,Bernard Blier,Bernard Blier,Pauline Carton,Sacha Guitry,Lana Marconi,Simone Paris,Solange Varenne"
271,tt0045034,Le Plaisir,1952,97,"Comedy,Drama,Romance",7.6,5395,FR,"Pierre Brasseur,Danielle Darrieux,Claude Dauphin,Jean Gabin,Ginette Leclerc,Gaby Morlay,Mila Parély,Madeleine Renaud,Jean Servais,Jean Servais,Simone Simon"
272,tt0045081,Le retour de Don Camillo,1953,115,Comedy,7.2,2677,"FR', 'IT","Thomy Bourdelle,Arturo Bragaglia,Gino Cervi,Claudy Chapeland,Édouard Delmont,Fernandel,Leda Gloria,Tony Jacquot,Alexandre Rignault,Saro Urzì"
280,tt0045601,Capitaine Pantoufle,1953,101,Comedy,6.0,58,FR,"Jean Brochard,Judith Magre,Léonce Corne,Paul Faivre,Jane Marken,Marthe Mercadier,Michèle Monty,Dominique Page,François Périer,Françoise Spira"
281,tt0045617,Cet homme est dangereux,1953,92,"Action,Comedy,Crime",5.9,154,FR,"Luc Andrieux,Grégoire Aslan,Roland Bailly,Claude Borelli,Eddie Constantine,Guy Decomble,Colette Deréal,Henry Djanik,Émile Genevois,Michel Seldow"
284,tt0045730,L'ennemi public n° 1,1953,85,"Comedy,Crime",5.9,305,"FR', 'IT","Zsa Zsa Gabor,Alfred Adam,Guglielmo Barnabò,Arturo Bragaglia,Tino Buazzelli,Fernandel,Jean Marchat,Carlo Ninchi,David Opatoshu,Louis Seigner"
285,tt0045909,L'incantevole nemica,1953,89,Comedy,5.6,28,"FR', 'IT","Gianni Agus,Carlo Campanini,Robert Lamoureux,Silvana Pampanini,Pina Renzi,Ugo Tognazzi"
286,tt0045910,Le infedeli,1953,99,"Comedy,Crime,Drama",6.8,240,"IT', 'FR","Margherita Bagni,May Britt,Giulio Calì,Pierre Cressoy,Charles Fawcett,Paolo Ferrara,Tina Lattanzi,Gina Lollobrigida,Irene Papas,Carlo Romano"
287,tt0045942,Julietta,1953,96,"Comedy,Romance",6.2,204,FR,"Nicole Berger,Georges Chamarat,Denise Grey,François Joux,Bernard Lancret,Jean Marais,Jeanne Moreau,Dany Robin,Georges Sauval"
290,tt0046030,Mam'zelle Nitouche,1954,90,Comedy,5.6,156,"IT', 'FR","Pier Angeli,Pier Angeli,Georges Chamarat,Jean Debucourt,Fernandel,Fernandel,François Guérin,Olivier Hussenot,Katherine Kath,Gaston Orbal,Hélène Tossy"
291,tt0046086,Mon frangin du Sénégal,1953,85,"Comedy,Romance",5.9,52,"FR', 'IT","Marcelle Arnold,Raymond Bussières,Raymond Bussières,Paul Demange,Paulette Dubost,Jacques Fabbri,Gisèle Grandpré,Annette Poivre,Noël Roquevert,Sophie Sel,Irène Bréor"
294,tt0046255,Rue de l'Estrapade,1953,100,"Comedy,Drama",6.7,343,FR,"Daniel Gélin,Henri Belly,Micheline Dax,Michel Flamme,Louis Jourdan,Jacques Morel,Marcelle Praince,Pâquerette,Jean Servais,Anne Vernon"
296,tt0046352,La spiaggia,1954,102,"Comedy,Drama",6.9,290,"FR', 'IT","Mara Berni,Carlo Bianco,Martine Carol,Mario Carotenuto,Clelia Matania,Nico Pepe,Carlo Romano,Raf Vallone,Anna Bassi,Patrizia Deaton"
297,tt0046409,Tempi nostri - Zibaldone n. 2,1954,134,Comedy,6.0,190,"FR', 'IT","Vittorio De Sica,Alba Arnova,Luisella Boni,Andrea Checchi,Maria Denis,François Périer,Dany Robin,Mario Scaccia,Alberto Sordi,Delfi Tanzi"
303,tt0046487,Les vacances de Monsieur Hulot,1953,83,Comedy,7.3,20300,FR,"Jacques Tati,Valentine Camax,Raymond Carl,André Dubois,Lucien Frégis,Marguerite Gérard,Nathalie Pascaud,Micheline Rolla,Suzy Willy,Louis Pérault"
305,tt0046518,Villa Borghese,1953,98,"Comedy,Drama",6.1,211,"FR', 'IT","Vittorio De Sica,Maurizio Arena,Margherita Autuori,Annamaria Bugliari,Eloisa Cianni,Eduardo De Filippo,Anna Maria Ferrero,François Périer,Gérard Philipe,Micheline Presle"
306,tt0046521,I vitelloni,1953,104,"Comedy,Drama",7.8,19946,"IT', 'FR","Jean Brochard,Claude Farell,Franco Fabrizi,Riccardo Fellini,Franco Interlenghi,Carlo Romano,Leonora Ruffo,Alberto Sordi,Leopoldo Trieste,Enrico Viarisio"
307,tt0046572,L'étrange désir de Monsieur Bard,1954,108,"Comedy,Drama",6.9,149,FR,"Louis de Funès,Georgette Anys,Henri Arius,Maurice Bénard,Lucien Callamand,Paul Demange,Yves Deniaud,Paul Frankeur,Geneviève Page,Michel Simon"
308,tt0046688,Ah! les belles bacchantes....,1954,95,"Comedy,Musical",5.1,535,"IT', 'FR","Jacques Beauvais,Francis Blanche,Colette Brosset,Raymond Bussières,Roger Caccia,Robert Dhéry,Jacques Jouanneau,Jacques Legras,Jacqueline Maillan,Roger Saget"
310,tt0046695,Ali Baba et les 40 voleurs,1954,92,"Comedy,Fantasy,Romance",6.0,1390,FR,"Edmond Ardisson,Dieter Borsche,Édouard Delmont,Fernandel,Samia Gamal,Manuel Gary,Julien Maffre,Gaston Orbal,Henri Vilbert"
311,tt0046697,Allegro squadrone,1954,90,"Comedy,Drama",5.9,71,"FR', 'IT","Vittorio De Sica,Daniel Gélin,Riccardo Fellini,Carlo Lombardi,Silvana Pampanini,Luigi Pavese,Jean Richard,Alberto Sordi,Paolo Stoppa,Charles Vanel"
312,tt0046737,Le avventure di Giacomo Casanova,1955,95,Comedy,6.1,110,"FR', 'IT","Anna Amendola,Corinne Calvet,Carlo Campanini,Gabriele Ferzetti,Fulvia Franco,Irene Galter,Nadia Gray,Mara Lane,Aroldo Tieri,Marina Vlady"
320,tt0046960,Escalier de service,1954,94,Comedy,5.9,75,FR,"Alfred Adam,Junie Astor,Mischa Auer,Marc Cassot,Etchika Choureau,Danielle Darrieux,Sophie Desmarets,Saturnin Fabre,Robert Lamoureux,Jean Richard"
321,tt0046998,French Cancan,1955,102,"Comedy,Drama,Musical",7.3,4463,"FR', 'IT","Anna Amendola,Françoise Arnoul,Jean-Roger Caussimon,Dora Doll,Giani Esposito,María Félix,Gaston Gabaroche,Jean Gabin,Jacques Jouanneau,Jean Parédès"
322,tt0047003,Frou-Frou,1955,112,"Comedy,Drama,Musical",5.4,142,FR,"Louis de Funès,Béatrice Arnac,Gino Cervi,Ivan Desny,Philippe Lemaire,Umberto Melnati,Isabelle Pia,Dany Robin,Marie Sabouret,Jean Wall"
